"id","timestamp","drop_count","drop_rate","avg_drop_rate","weight","delta_weight","fluctuation_deviation","status","alert","status_color","created_at"
"23","0:0:3","1","0","0","0","0","0","Normal","0","green","2025-10-18 13:05:33"
"24","0:0:5","1","0","0","0","0.291","0","Normal","0","green","2025-10-18 13:05:34"
"25","0:0:7","1","0","0","0","0.101","0","Infus Habis (No Drip)","1","red","2025-10-18 13:05:36"
"26","0:0:8","1","0","0","0","0.099","0","Infus Habis (No Drip)","1","red","2025-10-18 13:05:37"
"27","0:0:10","1","0","0","0","0.08","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:39"
"28","0:0:11","1","0","0","0","0.043","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:41"
"29","0:0:14","1","0","0","0","0.072","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:43"
"30","0:0:15","1","0","0","0","0.064","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:44"
"31","0:0:17","1","0","0","0","0.076","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:46"
"32","0:0:19","1","0","0","0","-0.022","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:48"
"33","0:0:20","1","0","0","0","0.001","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:50"
"34","0:0:22","1","0","0","0","0.05","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:52"
"35","0:0:24","1","0","0","0","0.036","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:54"
"36","0:0:26","1","0","0","0","-0.006","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:55"
"37","0:0:28","1","0","0","0","0.061","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:57"
"38","0:0:29","1","0","0","0","0.05","0","Abnormal(stuck)","1","orange","2025-10-18 13:05:59"
"39","0:0:31","1","0","0","0","0.09","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:00"
"40","0:0:3","1","0","0","0","0","0","Normal","0","green","2025-10-18 13:06:20"
"41","0:0:5","1","0","0","0","0.06","0","Normal","0","green","2025-10-18 13:06:21"
"42","0:0:6","1","0","0","0","0.035","0","Infus Habis (No Drip)","1","red","2025-10-18 13:06:22"
"43","0:0:8","1","0","0","0","0.007","0","Infus Habis (No Drip)","1","red","2025-10-18 13:06:24"
"44","0:0:10","1","0","0","0","-0.058","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:26"
"45","0:0:12","1","0","0","0","-0.046","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:28"
"46","0:0:13","1","0","0","0","0.028","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:29"
"47","0:0:15","1","0","0","0","21.151","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:31"
"48","0:0:17","1","0","0","48.53","87.35","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:33"
"49","0:0:19","1","0","0","154.43","105.901","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:34"
"50","0:0:20","1","0","0","213.21","58.786","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:36"
"51","0:0:22","1","0","0","208.88","-4.337","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:38"
"52","0:0:24","1","0","0","382.87","173.992","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:39"
"53","0:0:25","1","0","0","484.5","101.628","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:41"
"54","0:0:27","1","0","0","498.86","14.362","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:43"
"55","0:0:29","1","0","0","498.95","0.096","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:45"
"56","0:0:30","1","0","0","498.98","0.024","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:46"
"57","0:0:32","1","0","0","498.87","-0.107","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:48"
"58","0:0:34","1","0","0","498.93","0.064","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:50"
"59","0:0:36","1","0","0","498.89","-0.043","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:52"
"60","0:0:38","1","0","0","487.92","-10.972","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:54"
"61","0:0:40","1","0","0","497.31","9.391","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:55"
"62","0:0:41","1","0","0","481.87","-15.442","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:57"
"63","0:0:43","1","0","0","498.84","16.972","0","Abnormal(stuck)","1","orange","2025-10-18 13:06:59"
"64","0:0:44","2","0","0","498.88","0.042","0","Normal","0","green","2025-10-18 13:07:00"
"65","0:0:45","4","117.65","119.4","498.88","-0.001","1.47","Normal","0","green","2025-10-18 13:07:01"
"66","0:0:45","5","123.71","120.81","498.88","0","2.41","Normal","0","green","2025-10-18 13:07:01"
"67","0:0:46","6","129.03","122.76","498.97","0.087","5.11","Normal","0","green","2025-10-18 13:07:02"
"68","0:0:46","7","130.43","124.22","498.97","0","5","Normal","0","green","2025-10-18 13:07:02"
"69","0:0:47","7","130.43","124.22","498.9","-0.067","5","Normal","0","green","2025-10-18 13:07:02"
"70","0:0:47","8","67.04","106.57","498.9","0","37.09","Normal","0","green","2025-10-18 13:07:03"
"71","0:0:48","9","69.69","94.76","498.86","-0.037","26.46","Normal","0","green","2025-10-18 13:07:04"
"72","0:0:48","9","69.69","94.76","498.37","-0.489","26.46","Normal","0","green","2025-10-18 13:07:04"
"73","0:0:50","9","69.69","94.76","496.86","-1.511","26.46","Normal","0","green","2025-10-18 13:07:06"
"74","0:0:51","10","17.39","48.93","498.94","2.076","64.46","Normal","0","green","2025-10-18 13:07:07"
"75","0:0:52","10","17.39","48.93","498.88","-0.06","64.46","Normal","0","green","2025-10-18 13:07:08"
"76","0:0:54","10","17.39","48.93","498.92","0.044","64.46","Normal","0","green","2025-10-18 13:07:10"
"77","0:0:56","10","17.39","48.93","498.95","0.031","64.46","Normal","0","green","2025-10-18 13:07:12"
"78","0:0:58","10","17.39","48.93","497.22","-1.731","64.46","Abnormal(stuck)","1","orange","2025-10-18 13:07:14"
"79","0:0:59","11","7.86","22.56","498.88","1.653","65.15","Slow Drip","0","yellow","2025-10-18 13:07:15"
"80","0:1:0","11","7.86","22.56","498.88","0","65.15","Slow Drip","0","yellow","2025-10-18 13:07:16"
"81","0:1:2","11","7.86","22.56","498.87","-0.01","65.15","Slow Drip","0","yellow","2025-10-18 13:07:18"
"82","0:1:3","12","14.08","17.55","494.23","-4.638","19.75","Normal","0","green","2025-10-18 13:07:19"
"83","0:1:4","12","14.08","17.55","498.16","3.933","19.75","Normal","0","green","2025-10-18 13:07:19"
"84","0:1:5","12","14.08","17.55","506.02","7.858","19.75","Normal","0","green","2025-10-18 13:07:21"
"85","0:1:7","12","14.08","17.55","498.89","-7.134","19.75","Normal","0","green","2025-10-18 13:07:23"
"86","0:1:9","13","15.09","14.87","498.84","-0.049","1.5","Normal","0","green","2025-10-18 13:07:25"
"87","0:1:11","14","18.34","13.28","497.89","-0.949","38.12","Normal","0","green","2025-10-18 13:07:27"
"88","0:1:11","14","18.34","13.28","485.9","-11.989","38.12","Normal","0","green","2025-10-18 13:07:27"
"89","0:1:13","15","22.1","13.73","465.97","-19.931","60.99","Normal","0","green","2025-10-18 13:07:29"
"90","0:1:15","15","22.1","13.73","497.54","31.568","60.99","Normal","0","green","2025-10-18 13:07:31"
"91","0:1:16","16","27.14","18.25","498.85","1.314","48.66","Normal","0","green","2025-10-18 13:07:31"
"92","0:1:17","16","27.14","18.25","498.8","-0.047","48.66","Normal","0","green","2025-10-18 13:07:33"
"93","0:1:18","17","26.61","20.79","498.8","-0.003","27.96","Normal","0","green","2025-10-18 13:07:34"
"94","0:1:19","17","26.61","20.79","498.8","-0.003","27.96","Normal","0","green","2025-10-18 13:07:34"
"95","0:1:20","18","27.27","23.71","498.72","-0.076","15.02","Normal","0","green","2025-10-18 13:07:36"
"96","0:1:21","18","27.27","23.71","498.72","0","15.02","Normal","0","green","2025-10-18 13:07:36"
"97","0:1:22","19","27.59","25.96","498.78","0.053","6.26","Normal","0","green","2025-10-18 13:07:38"
"98","0:1:22","19","27.59","25.96","498.78","0","6.26","Normal","0","green","2025-10-18 13:07:38"
"99","0:1:24","20","27.83","27.28","498.75","-0.026","2.01","Normal","0","green","2025-10-18 13:07:40"
"100","0:1:25","20","27.83","27.28","498.71","-0.035","2.01","Normal","0","green","2025-10-18 13:07:40"
"101","0:1:26","21","28.37","27.52","498.76","0.05","3.08","Normal","0","green","2025-10-18 13:07:42"
"102","0:1:27","21","28.37","27.52","498.76","0","3.08","Normal","0","green","2025-10-18 13:07:43"
"103","0:1:29","22","28.78","27.96","498.77","0.008","2.94","Normal","0","green","2025-10-18 13:07:45"
"104","0:1:29","22","28.78","27.96","498.74","-0.029","2.94","Normal","0","green","2025-10-18 13:07:45"
"105","0:1:31","23","28.99","28.3","498.71","-0.033","2.43","Normal","0","green","2025-10-18 13:07:46"
